GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
0500000US49001,"Beaver County, Utah",2282,116,112,61,102,53,89,41,120,69,125,62,132,63,101,62,114,57,103,55,231,91,337,92,271,80,147,67,132,70,110,56,56,47
0500000US49003,"Box Elder County, Utah",17569,265,643,140,429,116,432,121,587,133,856,186,913,198,906,164,793,140,1174,216,1705,274,2224,205,2608,221,1796,200,1046,187,958,158,499,108
0500000US49005,"Cache County, Utah",38393,459,1818,267,1611,248,1285,246,1850,255,2148,279,1994,274,1872,275,1918,229,1966,204,3019,309,4498,398,5722,414,3573,271,1912,223,1789,175,1418,192
0500000US49007,"Carbon County, Utah",7829,210,679,168,392,139,502,139,427,115,429,120,352,110,274,98,305,96,428,87,677,166,1033,149,1070,185,552,119,342,87,233,74,134,57
0500000US49009,"Daggett County, Utah",163,44,9,10,0,11,0,11,3,4,23,17,8,8,0,11,4,5,0,11,16,12,18,14,23,22,30,17,10,11,19,16,0,11
0500000US49011,"Davis County, Utah",104551,663,2592,381,1949,312,2212,392,2296,362,2711,402,2845,357,3256,426,3771,402,4107,439,7803,650,11888,727,18472,921,14583,609,8882,684,10061,639,7123,461
0500000US49013,"Duchesne County, Utah",6868,149,403,69,292,62,332,68,225,54,233,52,312,67,376,71,261,71,265,71,600,89,791,96,1179,107,715,87,411,69,294,68,179,47
0500000US49015,"Emery County, Utah",3665,138,174,65,176,55,205,66,177,52,155,53,214,66,135,51,194,62,156,57,388,79,421,88,557,85,394,82,194,62,100,44,25,17
0500000US49017,"Garfield County, Utah",1760,137,118,51,35,24,71,32,138,46,126,46,109,51,84,42,116,62,52,27,105,43,257,73,237,56,141,56,71,35,59,36,41,31
0500000US49019,"Grand County, Utah",4191,245,228,126,141,80,257,158,274,153,224,161,177,93,202,107,172,106,238,130,516,193,675,234,521,200,270,152,112,74,121,67,63,44
0500000US49021,"Iron County, Utah",17015,359,1027,300,1114,281,744,186,871,221,885,257,860,204,952,177,1138,224,691,195,1371,282,1931,263,2343,319,1195,233,831,214,492,163,570,198
0500000US49023,"Juab County, Utah",3464,86,99,44,82,56,162,79,125,55,112,55,170,57,275,82,289,95,111,44,252,76,387,118,561,116,343,89,196,75,189,64,111,57
0500000US49025,"Kane County, Utah",2643,206,202,94,121,62,73,50,176,85,135,69,217,106,155,89,146,66,171,72,149,58,195,84,398,133,231,89,160,73,78,71,36,29
0500000US49027,"Millard County, Utah",4337,161,199,66,137,71,118,42,183,79,268,107,225,77,236,96,196,57,260,88,290,76,571,129,670,129,412,122,280,90,161,67,131,55
0500000US49029,"Morgan County, Utah",3365,87,87,60,54,44,29,37,25,19,57,35,66,37,127,63,132,64,139,58,261,92,370,83,534,114,429,113,306,102,381,104,368,98
0500000US49031,"Piute County, Utah",532,51,23,12,35,22,24,14,52,25,35,20,23,14,50,25,31,17,12,11,39,16,65,26,77,24,18,10,30,18,11,12,7,7
0500000US49033,"Rich County, Utah",635,91,16,16,13,12,19,15,26,16,63,33,28,27,11,12,49,38,67,36,49,25,76,41,85,25,41,23,12,14,44,26,36,18
0500000US49035,"Salt Lake County, Utah",374820,1371,14337,878,10209,719,11164,645,11087,831,13458,896,13080,804,14109,855,14919,748,13770,728,29620,962,41980,1499,56260,1605,43070,1488,28257,1072,30507,1064,28993,921
0500000US49037,"San Juan County, Utah",4311,174,558,96,313,97,207,63,198,54,301,110,169,58,149,39,237,102,216,93,365,110,456,131,455,112,330,98,180,55,95,38,82,46
0500000US49039,"Sanpete County, Utah",8643,285,363,96,299,62,504,106,373,101,500,139,529,164,522,124,562,133,397,95,877,138,1005,163,1109,176,796,156,345,81,285,75,177,102
0500000US49041,"Sevier County, Utah",7364,177,356,95,357,103,405,94,485,115,391,95,270,77,360,86,332,91,365,100,774,132,856,137,1123,145,646,110,223,68,262,70,159,61
0500000US49043,"Summit County, Utah",14220,361,553,146,205,79,183,63,410,105,291,87,482,138,304,97,347,103,234,83,729,142,1288,225,1887,198,1345,176,1180,210,1440,206,3342,275
