;Index,CO_FIPS,YEAR,Tel_RETL,Tel_FOOD,Tel_MANU,Tel_WSLE,Tel_OFFI,Tel_GVED,Tel_HLTH,Tel_OTHR,Tel_AGRI,Tel_MING,Tel_CONS,HBJ_RETL,HBJ_FOOD,HBJ_MANU,HBJ_WSLE,HBJ_OFFI,HBJ_GVED,HBJ_HLTH,HBJ_OTHR,HBJ_AGRI,HBJ_MING,HBJ_CONS,HBJ,Telecom,Tot_WAH,CO_NAME
12023,01,2023,0.0711,0.0412,0.0679,0.0731,0.2093,0.1034,0.0759,0.1648,0.0643,0.0064,0.0622,0.0313,0.0181,0.0299,0.0322,0.0922,0.0456,0.0334,0.0726,0.0283,0.0028,0.0274,0.0411,0.0934,0.1345,"Beaver County, Utah"
12024,01,2024,0.0666,0.0385,0.0635,0.0675,0.1959,0.0967,0.0711,0.1554,0.0602,0.006,0.0582,0.0303,0.0175,0.0289,0.0307,0.0891,0.044,0.0323,0.0707,0.0274,0.0027,0.0265,0.0403,0.0886,0.1289,"Beaver County, Utah"
12025,01,2025,0.0617,0.0357,0.0589,0.0626,0.1816,0.0896,0.0659,0.1436,0.0558,0.0055,0.0539,0.0327,0.0189,0.0312,0.0331,0.0961,0.0474,0.0349,0.076,0.0295,0.0029,0.0285,0.0429,0.0811,0.124,"Beaver County, Utah"
12026,01,2026,0.0592,0.0342,0.0565,0.0595,0.1741,0.0862,0.0632,0.1362,0.0535,0.0053,0.0517,0.0331,0.0192,0.0316,0.0333,0.0974,0.0482,0.0354,0.0762,0.0299,0.003,0.0289,0.0431,0.0771,0.1202,"Beaver County, Utah"
12027,01,2027,0.0571,0.0331,0.0545,0.0575,0.1681,0.0833,0.061,0.1308,0.0517,0.0051,0.0499,0.0335,0.0194,0.0319,0.0337,0.0984,0.0488,0.0357,0.0766,0.0303,0.003,0.0292,0.0434,0.0741,0.1175,"Beaver County, Utah"
12028,01,2028,0.0554,0.032,0.0528,0.0557,0.1628,0.0807,0.0591,0.1261,0.0501,0.005,0.0484,0.0337,0.0195,0.0321,0.0339,0.099,0.0491,0.0359,0.0767,0.0305,0.003,0.0294,0.0437,0.0718,0.1155,"Beaver County, Utah"
12029,01,2029,0.054,0.0312,0.0515,0.0543,0.1588,0.0787,0.0576,0.1227,0.0488,0.0048,0.0471,0.0338,0.0196,0.0323,0.0341,0.0996,0.0494,0.0361,0.0769,0.0306,0.003,0.0296,0.044,0.0702,0.1142,"Beaver County, Utah"
12030,01,2030,0.0529,0.0306,0.0505,0.0534,0.1556,0.0772,0.0565,0.1203,0.0479,0.0047,0.0462,0.0341,0.0197,0.0325,0.0344,0.1002,0.0497,0.0364,0.0774,0.0308,0.0031,0.0298,0.0444,0.0689,0.1133,"Beaver County, Utah"
12031,01,2031,0.053,0.0307,0.0506,0.0535,0.1559,0.0773,0.0566,0.1205,0.0479,0.0048,0.0463,0.0344,0.0199,0.0328,0.0347,0.1012,0.0502,0.0367,0.0782,0.0311,0.0031,0.0301,0.0449,0.0692,0.1141,"Beaver County, Utah"
12032,01,2032,0.0532,0.0308,0.0508,0.0537,0.1565,0.0776,0.0568,0.1208,0.0482,0.0048,0.0465,0.0348,0.0201,0.0332,0.0352,0.1024,0.0508,0.0372,0.0791,0.0315,0.0031,0.0304,0.0454,0.0694,0.1148,"Beaver County, Utah"
12033,01,2033,0.0534,0.0309,0.0509,0.054,0.157,0.0779,0.057,0.1211,0.0483,0.0048,0.0466,0.0352,0.0204,0.0336,0.0356,0.1035,0.0513,0.0376,0.0798,0.0319,0.0032,0.0307,0.0459,0.0696,0.1155,"Beaver County, Utah"
12034,01,2034,0.0536,0.031,0.0511,0.0544,0.1577,0.0782,0.0572,0.1208,0.0485,0.0048,0.0468,0.0356,0.0206,0.034,0.0361,0.1048,0.052,0.038,0.0803,0.0322,0.0032,0.0311,0.0464,0.0698,0.1162,"Beaver County, Utah"
12035,01,2035,0.0537,0.0311,0.0512,0.0545,0.1579,0.0783,0.0573,0.1225,0.0486,0.0048,0.0469,0.0359,0.0208,0.0343,0.0365,0.1057,0.0525,0.0384,0.082,0.0325,0.0032,0.0314,0.0469,0.0701,0.117,"Beaver County, Utah"
12036,01,2036,0.0538,0.0311,0.0513,0.0547,0.1582,0.0785,0.0574,0.1227,0.0487,0.0048,0.047,0.0363,0.021,0.0346,0.0369,0.1067,0.053,0.0387,0.0828,0.0328,0.0033,0.0317,0.0474,0.0703,0.1177,"Beaver County, Utah"
12037,01,2037,0.0539,0.0312,0.0515,0.0549,0.1587,0.0788,0.0576,0.1231,0.0488,0.0048,0.0471,0.0367,0.0212,0.035,0.0373,0.1078,0.0536,0.0391,0.0837,0.0332,0.0033,0.032,0.0479,0.0705,0.1184,"Beaver County, Utah"
12038,01,2038,0.0541,0.0313,0.0516,0.0552,0.159,0.079,0.0577,0.1233,0.049,0.0048,0.0472,0.037,0.0214,0.0353,0.0378,0.1089,0.0541,0.0395,0.0844,0.0335,0.0033,0.0323,0.0484,0.0708,0.1192,"Beaver County, Utah"
12039,01,2039,0.0542,0.0314,0.0517,0.0554,0.1595,0.0792,0.0579,0.1235,0.0491,0.0049,0.0474,0.0374,0.0216,0.0357,0.0382,0.1099,0.0546,0.0399,0.0851,0.0338,0.0033,0.0326,0.0489,0.071,0.1199,"Beaver County, Utah"
12040,01,2040,0.0543,0.0315,0.0519,0.0556,0.1599,0.0794,0.058,0.1238,0.0492,0.0049,0.0475,0.0377,0.0218,0.036,0.0386,0.111,0.0551,0.0403,0.0859,0.0342,0.0034,0.033,0.0494,0.0712,0.1206,"Beaver County, Utah"
12041,01,2041,0.0545,0.0315,0.052,0.0558,0.1604,0.0797,0.0582,0.1241,0.0493,0.0049,0.0476,0.0381,0.0221,0.0364,0.039,0.1121,0.0557,0.0407,0.0867,0.0345,0.0034,0.0333,0.0499,0.0714,0.1213,"Beaver County, Utah"
