;Index,CO_FIPS,YEAR,Tel_RETL,Tel_FOOD,Tel_MANU,Tel_WSLE,Tel_OFFI,Tel_GVED,Tel_HLTH,Tel_OTHR,Tel_AGRI,Tel_MING,Tel_CONS,HBJ_RETL,HBJ_FOOD,HBJ_MANU,HBJ_WSLE,HBJ_OFFI,HBJ_GVED,HBJ_HLTH,HBJ_OTHR,HBJ_AGRI,HBJ_MING,HBJ_CONS,HBJ,Telecom,Tot_WAH,CO_NAME
212023,21,2023,0.048,0.032,0.022,0.074,0.160,0.066,0.060,0.084,0.132,0.132,0.106,0.016,0.011,0.008,0.025,0.055,0.023,0.020,0.029,0.045,0.045,0.036,0.028,0.082,0.110,"Iron County, Utah"
232023,23,2023,0.041,0.083,0.010,0.136,0.146,0.048,0.047,0.089,0.171,0.171,0.004,0.031,0.064,0.008,0.032,0.111,0.037,0.036,0.068,0.130,0.130,0.003,0.050,0.065,0.115,"Juab County, Utah"
252023,25,2023,0.038,0.043,0.162,0.136,0.217,0.206,0.271,0.207,0.065,0.065,0.319,0.003,0.003,0.012,0.032,0.016,0.015,0.020,0.015,0.005,0.005,0.023,0.012,0.159,0.170,"Kane County, Utah"
272023,27,2023,0.012,0.014,0.042,0.028,0.077,0.021,0.017,0.044,0.027,0.027,0.017,0.017,0.018,0.056,0.037,0.102,0.028,0.022,0.058,0.035,0.035,0.022,0.034,0.026,0.059,"Millard County, Utah"
292023,29,2023,0.083,0.033,0.023,0.136,0.269,0.044,0.039,0.170,0.062,0.062,0.071,0.028,0.011,0.008,0.032,0.092,0.015,0.013,0.058,0.021,0.021,0.024,0.031,0.091,0.122,"Morgan County, Utah"
312023,31,2023,0.175,0.139,0.357,0.136,0.311,0.075,0.083,0.802,0.094,0.094,0.520,0.043,0.034,0.088,0.032,0.077,0.018,0.020,0.198,0.022,0.022,0.128,0.052,0.211,0.263,"Piute County, Utah"
332023,33,2023,0.041,0.104,0.086,0.136,0.091,0.061,0.032,0.042,0.174,0.174,0.036,0.065,0.165,0.020,0.032,0.144,0.097,0.051,0.066,0.277,0.277,0.058,0.118,0.074,0.192,"Rich County, Utah"
352023,35,2023,0.106,0.061,0.101,0.155,0.279,0.126,0.121,0.145,0.084,0.084,0.083,0.020,0.012,0.019,0.030,0.053,0.024,0.023,0.028,0.016,0.016,0.016,0.028,0.149,0.177,"Salt Lake County, Utah"
372023,37,2023,0.091,0.016,0.037,0.136,0.231,0.035,0.035,0.189,0.045,0.045,0.030,0.021,0.011,0.026,0.032,0.163,0.025,0.025,0.133,0.032,0.032,0.021,0.036,0.051,0.086,"San Juan County, Utah"
392023,39,2023,0.062,0.031,0.024,0.074,0.177,0.045,0.041,0.122,0.002,0.002,0.034,0.038,0.019,0.014,0.045,0.107,0.027,0.025,0.074,0.001,0.001,0.021,0.036,0.060,0.096,"Sanpete County, Utah"
