;CO_TAZID,CO_IDX,TOTHH,HHPOP,HHSize,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,SUBAREAID,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
43001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183472,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158056,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43003,3,31,92,2.97,4,0,0,4,17,0,0,0,0,3,0,1,0,0,0,8,5,1,0,0,1,0,0,0,183472,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43004,4,465,1386,2.98,397,0,29,368,563,0,0,0,29,64,0,1,303,0,0,89,77,15,0,0,15,0,0,0,188706,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43005,5,385,1301,3.38,283,4,14,265,388,4,0,6,8,101,0,54,110,0,0,41,64,79,0,0,79,0,0,0,296401,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43006,6,0,0,0,329,29,94,206,398,29,0,0,94,11,133,14,48,0,0,69,0,0,0,0,0,0,0,0,300000,392,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162366,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43008,8,0,0,0,685,23,78,584,688,10,13,0,78,394,0,45,145,0,0,3,0,0,0,0,0,0,0,0,158056,7,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43009,9,587,1667,2.84,179,4,5,170,497,3,1,0,5,85,0,29,56,0,0,221,97,27,0,0,27,0,0,0,175714,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43010,10,345,1114,3.23,230,3,28,199,298,3,0,0,28,88,2,4,105,0,0,11,57,86,0,0,86,0,0,0,200068,0,0,0,43,4,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
