service_id,date,exception_type
302.2279.2,20260525,1
302.4678.2,20260525,1
302.0.2,20260525,1
302.0.4,20260525,2
302.133.4,20260526,1
302.463.4,20260526,1
302.133.4,20260527,1
302.463.4,20260527,1
302.133.4,20260528,1
302.133.4,20260529,1
302.2769.4,20260529,1
302.1662.2,20260530,1
302.2279.2,20260530,1
302.2870.2,20260530,1
302.4678.2,20260530,1
302.133.4,20260601,1
302.133.4,20260602,1
302.463.4,20260602,1
302.133.4,20260603,1
302.463.4,20260603,1
302.133.4,20260604,1
302.133.4,20260605,1
302.2769.4,20260605,1
302.1662.2,20260606,1
302.2279.2,20260606,1
302.2870.2,20260606,1
302.4678.2,20260606,1
302.133.4,20260608,1
302.133.4,20260609,1
302.463.4,20260609,1
302.133.4,20260610,1
302.463.4,20260610,1
302.133.4,20260611,1
302.133.4,20260612,1
302.2769.4,20260612,1
302.1662.2,20260613,1
302.2279.2,20260613,1
302.2870.2,20260613,1
302.4678.2,20260613,1
302.133.4,20260615,1
302.133.4,20260616,1
302.463.4,20260616,1
302.133.4,20260617,1
302.463.4,20260617,1
302.133.4,20260618,1
302.133.4,20260619,1
302.2769.4,20260619,1
302.1662.2,20260620,1
302.2279.2,20260620,1
302.2870.2,20260620,1
302.4678.2,20260620,1
