stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
391,102156,4015 W / Ridgecrest Dr (SB),4015 W & 4878 S,40.663345,-111.987053,,,,,,0
506,102157,4015 W / 4990 S (SB),4015 W & 5000 S,40.66028,-111.987056,,,,,,0
870,135009,2700 W / 3650 S (SB),Constitution Blvd & 3662 S,40.692636,-111.958136,0,,,,,1
887,135026,Constitution Blvd / Lehman Ave (NB),3601 S Constitution Blvd & 3500 S,40.69391,-111.957789,,,,,,1
1022,118161,University Hospital,North Medical Dr & 50 N,40.772535,-111.837594,,,,,,1
1024,117229,Redwood Rd / 700 N (SB),683 N Redwood Road & 700 N,40.784353,-111.939554,,,,,,1
1029,812002,State St / 100 S (NB),,40.295509,-111.694083,,,,,,1
1038,812011,State St / 800 N (NB),State St (US 89) & 830 N,40.312656,-111.701574,,,,,,1
1040,812013,State St / 1100 N (NB),State St. & 1070 N,40.317165,-111.703573,,,,,,0
1041,812014,State St / 1200 N (NB),1235 ,40.319878,-111.704794,,,,,,0
1045,812018,State St / 2000 N (NB),1960 N State St & 2000 N,40.332719,-111.712453,,,,,,0
1054,812027,State St / 2000 N (SB),1975 N State St & 2000 N,40.333298,-111.713371,,,,,,0
1059,812032,State St / 1200 N (SB),State Street & 1191 North,40.319001,-111.704817,,,,,,0
1066,812039,State St / 500 N (SB),State St. & 471 N,40.305786,-111.699015,,,,,,1
1067,812040,State St / 400 N (SB),State St. & 381 N,40.303694,-111.698139,,,,,,0
1071,812044,State St / Orem Center St (SB),State St. & 22 S,40.296655,-111.69507,,,,,,1
1253,125371,900 W / California Ave (NB),1319 S 900 W & W 1300 S,40.741116,-111.916761,,,,,,1
1725,138045,3900 S / 2700 E (EB),2722 E 3900 S & 2700 E,40.687021,-111.814588,,,,,,1
1742,138062,3900 S / 2700 E (WB),2681 E 3900 S & 2700 S,40.687138,-111.81544,,,,,,1
1760,138081,2300 E / 4500 S (SB),4510 S 2300 E & 4500 S,40.673866,-111.824613,,,,,,0
1775,138097,Murray Holladay Rd / Highland Dr (E,1868 E Murray Holladay Rd & Highland Blvd,40.665783,-111.838718,,,,,,0
1819,138140,3300 S / Valley St (WB),3291 E 3300 S,40.699972,-111.801071,,,,,,1
1844,138164,3300 S / 2000 E (WB),1973 E 3300 S,40.699948,-111.834701,,,,,,1
1849,138169,3300 S / 2000 E (EB),2010 E 3300 S & 2000 E,40.699791,-111.833697,,,,,,0
1852,138172,3300 S / 2300 E (EB),2324 E 3300 S,40.699783,-111.82367,,,,,,1
1885,138205,2700 S / 2300 E (EB),2024 E 2700 S & 2000 E,40.712662,-111.833348,0,,,,,1
1926,154038,State St / Winchester St (NB),6307 S State Street & State St,40.634171,-111.889158,,,,,,1
1927,154039,State St / Creek Dr (NB),6200 S State St & 6000 S,40.636249,-111.889072,,,,,,1
1958,154071,900 E / 5600 S (SB),900 E & 5608 S,40.649212,-111.866099,,,,,,0
1998,154113,1300 E / Old Maple Ct (NB),1300 E & 5581 S,40.649975,-111.854383,,,,,,0
2024,154139,1300 E / Fort Union Blvd (SB),6926 ,40.625573,-111.855083,,,,,,1
2134,138262,Wasatch Blvd / 3300 S (NB),3305 S Wasatch Blvd & Ramp,40.699696,-111.794546,,,,,,1
2144,138272,Wasatch Blvd / 4430 S (SB),4470 S Wasatch Blvd & 4500 S,40.674781,-111.801245,,,,,,0
2149,S156001,Big Cottonwood Canyon P+R (Down),Big Cottonwood Park And Ride & E Big Cottonwood Canyon Rd,40.619489,-111.786845,,,,,,1
2202,126491,U Social Work Building (EB),1530 E South Campus Dr & 600 S,40.760138,-111.846654,,,,,,1
2222,154171,State St / 5600 S (SB),5590 S State St & 5600 S,40.649543,-111.888732,,,,,,0
2228,154177,State St / Creek Dr (SB),6210 S State St,40.635728,-111.889473,,,,,,0
2254,189081,State St / 11000 S (SB),11006 S STATE ST & 11000 S,40.551247,-111.890981,,,,,,0
2256,189083,State St / 11400 S (SB),11418 S State St & 11400 S,40.543806,-111.891428,,,,,,0
2265,189090,State St / 11000 S (NB),10985 S STATE ST & 11000 S,40.552371,-111.890663,,,,,,0
2333,127221,2100 S / 1900 E (WB),1881 E 2100 S & 1900 E,40.725578,-111.837085,,,,,,1
2426,126498,Guardsman Way / 500 S (SB),510 S Guardsman Way & 500 S,40.757942,-111.845493,,,,,,0
2440,817249,500 W / Cougar Blvd (SB),500 West & 1193 North,40.249825,-111.667602,,,,,,1
2450,817259,State St / Cougar Blvd (NB),1227 ,40.251111,-111.6675,,,,,,1
2499,817308,University Ave / 960 N (NB),1020 N University Ave & 960 N,40.246981,-111.658493,,,,,,0
2641,816003,UVU Station (Adjacent bus stop WB),,40.27584,-111.712223,,,,,,1
2644,820018,State Street / 300 S (NB),381 S State Street & 300 S,40.228721,-111.645501,,,,,,0
2682,136156,700 W / Carlisle St (NB),3575 S 700 W & 3600 S,40.692436,-111.911123,,,,,,0
2701,136175,700 W / Carlisle St (SB),3600 S 700 W & 3650 S,40.692217,-111.911311,,,,,,1
2725,127042,1900 E / 900 S (SB),886 S 1900 E & E 900 S,40.749919,-111.836608,,,,,,0
2731,127048,Foothill Dr / 2100 E (SB),1154 Foothill Dr,40.744636,-111.830033,,,,,,1
2759,127077,1900 E / 900 S (NB),901 S 1900 E & 900 S,40.749641,-111.836469,,,,,,0
2778,118091,11th Ave / L St (EB),756 E 11Th Ave & L St,40.781825,-111.866673,,,,,,0
2780,118093,11th Ave / Virginia St (EB),1248 E 11Th Ave & Virginia St,40.778209,-111.85236,,,,,,1
2786,118099,Virginia St / 3rd Ave (NB),133 N Virginia St & 3rd Ave,40.772397,-111.852169,,,,,,1
2789,118102,11th Ave / Virginia St (WB),1225 E 11Th Ave & Virginia St,40.778355,-111.852748,,,,,,0
2791,118104,11th Ave / L St (WB),735 E 11Th Ave & L St,40.781916,-111.867379,,,,,,0
2933,151027,5400 S / 5600 W (EB),5574 W 5400 S & 5600 W,40.652921,-112.024052,,,,,,1
3028,137103,Richmond St / Highland Dr (SB),2808 S Edgehill St & Charlton Ave,40.710366,-111.855201,,,,,,1
3035,137110,1300 E / 3300 (SB),3310 S 1300 E & 3300 S,40.699335,-111.854145,,,,,,0
3043,137118,1300 E / 3930 S (SB),3946 S 1300 E & E 3930 S,40.685974,-111.854234,,,,,,1
3050,137125,1300 E / 4500 S (SB),4450 S 1300 E & 4500 S,40.675082,-111.85424,,,,,,0
3079,137013,900 E / 3300 S (NB),3265 S 900 E & College St,40.700349,-111.865368,,,,,,0
3094,137029,900 E / 3300 S (SB),3334 S 900 E & 3300 S,40.699053,-111.865582,,,,,,0
3102,137037,900 E / 4500 S (SB),4516  & 4500 S,40.67359,-111.865719,,,,,,1
3111,126094,500 E / 2100 S (SB),500 E & 2110 S,40.725107,-111.876935,,,,,,0
3126,137054,500 E / 3300 S (SB),500 E & 3334 S,40.699132,-111.877045,,,,,,1
3133,137061,500 E / 3900 S (SB),3924 S 500 E,40.686613,-111.877119,,,,,,1
3141,137069,500 E / 4500 S (SB),500 E & 4482 S,40.674747,-111.877088,,,,,,0
3142,137070,500 E / 4500 S (NB),500 E & 4443 S,40.674965,-111.8769,,,,,,0
3157,137085,500 E / 3300 S (NB),500 E & 3251 S,40.700298,-111.876855,,,,,,1
3172,126105,500 E / 2100 S (NB),2125 S 500 E & Commonwealth Ave,40.724747,-111.876755,,,,,,1
3188,126121,900 E / Emerson Ave (NB),1477 S 900 E & 1300 S,40.737492,-111.865286,,,,,,0
3266,132009,9150 W / Magna Main St (SB),2702 S 9150 W & 400 S,40.710641,-112.109524,,,,,,1
3324,133048,3500 S / 7200 W (EB),7225 W 3500 S & 7200 W,40.696412,-112.064376,,,,,,1
3404,182005,Main St / 300 N (SB),307 N Main St & 500 N,40.536553,-112.298592,,,,,,1
3432,182024,400 S / 100 W (WB),96 W 400 S & 100 W,40.523187,-112.301381,,,,,,0
3554,115017,Wiley Post Way / Wright Brothers Dr,4815 W Wiley Post Way & Wright Brothers Dr,40.773465,-112.006378,,,,,,0
3569,118017,9th Ave / LDS Hospital (EB),342 E 9Th Ave & 8Th Ave,40.779598,-111.879916,,,,,,1
3583,118032,Virginia St / 3rd Ave (SB),153 N Virginia St & 3Rd Ave,40.773009,-111.852328,,,,,,1
3689,823063,Main Street / 400 S (NB),337 S Main Street & 400 S,40.162161,-111.610484,,,,,,0
3711,104054,Main St / 550 S (NB),529 S Main St & S 500 E,41.026656,-111.930587,,,,,,1
3726,101088,Gentile St / Fort Ln (WB),357 E Gentile St,41.06019,-111.959494,,,,,,0
3848,101065,Fort Ln / Gentile St (SB) (Layton),70 S Fort Ln & Gentile St,41.059121,-111.957755,,,,,,1
3864,102060,Main St / Kaysville Center St  (SB),50 S Main St & 100 N,41.034146,-111.938783,,,,,,1
3910,633107,Main St / 800 N (SB),799 N MAIN ST & 800 N,41.124991,-112.026183,,,,,,1
3916,633113,13th St / Z St (SB),1601 S 13Th St & 1700 S,41.090542,-112.018991,,,,,,0
3917,633114,13th St / Z St (NB),1600 S 13Th St & 1700 S,41.090301,-112.018488,,,,,,0
3928,633125,Main St / 2000 N (SB),2151 N Main St & Hidden Cove,41.09083,-112.00302,,,,,,1
3996,622045,Wilson Ln / 1900 W (WB),1756 Wilson Ln & Painter Ln,41.228895,-112.021718,,,,,,1
4002,610027,2550 N / 1850 W (WB),1698 W 2600 N & 2700 N,41.304281,-112.024491,,,,,,0
4170,118073,3rd Ave / A St (WB),203 E 3rd Ave & A St,40.772888,-111.883415,,,,,,0
4301,125070,400 S / 900 E (WB),918 W 400 S & 900 W,40.760728,-111.9175,,,,,,1
4436,109171,Main St / Bountiful Center St (NB),1 S Main St & Center St,40.889217,-111.880597,,,,,,1
4622,820143,100 N / University Ave (WB),30 W 100 N & University Ave,40.235203,-111.659206,,,,,,1
4624,820145,100 N / 300 W (WB),100 N & 280 W,40.235215,-111.663646,,,,,,0
4663,820184,100 N / 500 W (EB),100 North & 482 West,40.235032,-111.667058,,,,,,0
4702,825073,Expressway Ln / 800 N (WB),940 E Expressway Ln & 800 N,40.121537,-111.638414,,,,,,0
4703,825074,Expressway Ln / 800 N (WB),945 E Expressway Lane & 800 N,40.121572,-111.638752,,,,,,0
4744,820055,Canyon Creek Pkwy / Market Place Dr,1332 N Canyon Creek Pkwy & Market Place Dr,40.127358,-111.637907,,,,,,0
4752,820063,1000 N / US Hwy 6 (SB),641 E 1000 N & US Hwy 6,40.123004,-111.64419,,,,,,0
4753,820064,1000 N / 200 E (EB),242 E 1000 N & 200 E,40.12266,-111.650292,,,,,,0
4772,820083,University Ave / 100 S (NB),University Ave. & 81 S,40.23277,-111.658524,,,,,,1
4821,117015,Redwood Rd / 700 N (NB),720 N Redwood Rd & 700 N,40.785345,-111.939231,,,,,,1
4862,117054,North Temple / 300 W (WB),330 W & NORTH TEMPLE,40.771677,-111.90048,,,,,,1
4874,117066,Redwood Rd / North Temple (NB),120 N Redwood Rd & North Temple,40.772549,-111.939112,,,,,,1
4876,117068,Redwood Rd / South Temple (NB),20 N Redwood Rd & North Temple,40.770221,-111.939079,,,,,,0
4879,117071,Northstar Dr / Cornell St (EB),289 N 1460 W & Cornell Cir,40.775599,-111.933402,,,,,,1
4886,116015,North Temple St / 2200 W (WB),2165 W North Temple,40.771597,-111.952718,,,,,,0
4945,173030,State St / 10600 S (SB),10604 S STATE ST & 10600 S,40.558481,-111.890951,,,,,,0
4948,116003,North Temple St / 2400 W (WB),2249 W North Temple,40.771557,-111.954665,,,,,,0
4978,823100,Main St / 500 S (SB),Main Street & 427 S,40.160639,-111.610836,,,,,,1
5006,109126,Main St / Bountiful Center St (SB),1 N Main St & Center St,40.889465,-111.880806,,,,,,1
5053,633087,Main St / 2000 N (NB),2170 N Main St & Hidden Cove,41.091228,-112.002918,,,,,,0
5060,633094,State St / SR-193 (NB),689 S State Street & 700 S,41.103947,-112.015539,,,,,,1
5093,805055,State St / Pacific Dr. (SB),183 N State St & 200 N,40.381202,-111.813995,,,,,,1
5100,805062,Main St / 100 E (EB),54 E Main St & 100 E,40.376704,-111.796726,,,,,,1
5127,805090,State St / 100 E (WB),97 E State St & 100 E,40.397372,-111.848046,,,,,,0
5198,107026,Chase Ln / Main St (EB),50 E Chase Ln & Main St,40.929062,-111.878032,,,,,,0
5202,109003,400 E / Parrish Ln (SB),347 N 400 E & 400 N,40.921093,-111.872367,,,,,,0
5310,104024,Main St / Shepard Ln (NB),1170 N Main St & 1150 N,40.999881,-111.899461,,,,,,1
5343,629172,Harrison Blvd / 4600 S (SB) (Ogden),4605 S Harrison Blvd & 5100 S,41.179281,-111.949339,,,,,,0
5370,806006,Main St / 150 S (NB),155 S Main St & 100 S,40.361893,-111.740666,0,,,,,1
5394,806030,Main St / 150 S (SB),150 S Main St & 200 S,40.362005,-111.740797,,,,,,1
5479,125021,200 S / 300 W (EB),308 W 200 S,40.764954,-111.900077,1,,,,,1
5481,125023,200 S / West Temple (EB),121 W 200 S,40.764898,-111.894556,1,,,,,1
5482,126530,200 S / State St (EB),115 E 200 S,40.764973,-111.887526,1,,,,,1
5491,117004,300 W / North Temple (NB),127 North & 300 West,40.772212,-111.899478,1,,,,,1
5492,117005,North Temple / 300 W (EB),275 W North Temple St & 300 W,40.771412,-111.898568,1,,,,,1
5493,117006,North Temple / 150 W (EB),175 W North Temple St & 200 W,40.771406,-111.895316,1,,,,,1
5498,126507,State St / 150 S (SB),152 S State St,40.765872,-111.888422,1,,,,,1
5502,126511,State St / 400 S (NB),355 S State St & Exchange PL,40.761431,-111.888044,1,,,,,1
5504,126513,State St / 150 S (NB),185 S State St & 200 S,40.76587,-111.888062,1,,,,,1
5512,125001,West Temple / South Temple (SB),20 S WEST TEMPLE & SOUTH TEMPLE,40.768506,-111.89415,,,,,,1
5635,817036,2230 N / 350 W (EB),446 W 2230 N,40.263511,-111.665425,,,,,,0
5699,817085,2230 N / Freedom Blvd (WB),210 W 2230 N & Freedom Blvd,40.263524,-111.661618,,,,,,0
5702,817088,University Pkwy / 2230 N (NB),2266 N University Pkwy,40.263677,-111.667945,,,,,,1
